ticker,date,time,open,low,high,close
EURCHF,20090624,00:00:00,1.5013,1.5008,1.5378,1.5294
EURCHF,20090625,00:00:00,1.5294,1.5252,1.5368,1.5298
EURCHF,20090626,00:00:00,1.5297,1.5210,1.5322,1.5210
EURCHF,20090629,00:00:00,1.5219,1.5219,1.5279,1.5250
EURCHF,20090630,00:00:00,1.5249,1.5227,1.5268,1.5240
EURCHF,20090701,00:00:00,1.5239,1.5194,1.5253,1.5202
EURCHF,20090702,00:00:00,1.5201,1.5171,1.5244,1.5184
EURCHF,20090703,00:00:00,1.5183,1.5173,1.5245,1.5189
EURCHF,20090706,00:00:00,1.5184,1.5148,1.5206,1.5164
EURCHF,20090707,00:00:00,1.5164,1.5141,1.5190,1.5155
EURCHF,20090708,00:00:00,1.5154,1.5119,1.5169,1.5130
EURCHF,20090709,00:00:00,1.5129,1.5106,1.5166,1.5121
EURCHF,20090710,00:00:00,1.5120,1.5114,1.5165,1.5128
EURCHF,20090713,00:00:00,1.5130,1.5118,1.5154,1.5140
EURCHF,20090714,00:00:00,1.5141,1.5131,1.5217,1.5200
EURCHF,20090715,00:00:00,1.5199,1.5143,1.5213,1.5163
EURCHF,20090716,00:00:00,1.5161,1.5145,1.5187,1.5174
EURCHF,20090717,00:00:00,1.5177,1.5169,1.5220,1.5181
EURCHF,20090720,00:00:00,1.5192,1.5179,1.5221,1.5191
EURCHF,20090721,00:00:00,1.5190,1.5139,1.5199,1.5159
EURCHF,20090722,00:00:00,1.5158,1.5148,1.5174,1.5154
EURCHF,20090723,00:00:00,1.5153,1.5147,1.5240,1.5207
EURCHF,20090724,00:00:00,1.5206,1.5196,1.5243,1.5222
EURCHF,20090727,00:00:00,1.5218,1.5215,1.5247,1.5238
EURCHF,20090728,00:00:00,1.5237,1.5211,1.5259,1.5236
EURCHF,20090729,00:00:00,1.5235,1.5216,1.5279,1.5268
EURCHF,20090730,00:00:00,1.5266,1.5259,1.5335,1.5304
EURCHF,20090731,00:00:00,1.5305,1.5209,1.5343,1.5229
EURCHF,20090803,00:00:00,1.5233,1.5224,1.5282,1.5266
EURCHF,20090804,00:00:00,1.5267,1.5256,1.5315,1.5268
EURCHF,20090805,00:00:00,1.5269,1.5255,1.5313,1.5295
EURCHF,20090806,00:00:00,1.5296,1.5277,1.5322,1.5284
EURCHF,20090807,00:00:00,1.5283,1.5243,1.5354,1.5333
EURCHF,20090810,00:00:00,1.5336,1.5333,1.5361,1.5344
EURCHF,20090811,00:00:00,1.5345,1.5279,1.5346,1.5304
EURCHF,20090812,00:00:00,1.5305,1.5262,1.5310,1.5289
EURCHF,20090813,00:00:00,1.5289,1.5271,1.5335,1.5286
EURCHF,20090814,00:00:00,1.5285,1.5218,1.5301,1.5224
EURCHF,20090817,00:00:00,1.5228,1.5170,1.5240,1.5178
EURCHF,20090818,00:00:00,1.5177,1.5171,1.5219,1.5199
EURCHF,20090819,00:00:00,1.5199,1.5133,1.5209,1.5158
EURCHF,20090820,00:00:00,1.5157,1.5146,1.5186,1.5148
EURCHF,20090821,00:00:00,1.5149,1.5131,1.5185,1.5151
EURCHF,20090824,00:00:00,1.5157,1.5152,1.5206,1.5176
EURCHF,20090825,00:00:00,1.5177,1.5149,1.5191,1.5176
EURCHF,20090826,00:00:00,1.5176,1.5168,1.5234,1.5214
EURCHF,20090827,00:00:00,1.5215,1.5161,1.5241,1.5190
EURCHF,20090828,00:00:00,1.5189,1.5149,1.5216,1.5152
EURCHF,20090831,00:00:00,1.5165,1.5142,1.5181,1.5178
EURCHF,20090901,00:00:00,1.5177,1.5145,1.5180,1.5149
EURCHF,20090902,00:00:00,1.5148,1.5121,1.5185,1.5130
EURCHF,20090903,00:00:00,1.5129,1.5121,1.5152,1.5138
EURCHF,20090904,00:00:00,1.5139,1.5135,1.5181,1.5165
EURCHF,20090907,00:00:00,1.5172,1.5155,1.5198,1.5189
EURCHF,20090908,00:00:00,1.5190,1.5147,1.5201,1.5166
EURCHF,20090909,00:00:00,1.5165,1.5151,1.5177,1.5154
EURCHF,20090910,00:00:00,1.5153,1.5134,1.5194,1.5139
EURCHF,20090911,00:00:00,1.5140,1.5122,1.5146,1.5123
EURCHF,20090914,00:00:00,1.5123,1.5107,1.5139,1.5120
EURCHF,20090915,00:00:00,1.5121,1.5114,1.5172,1.5168
EURCHF,20090916,00:00:00,1.5168,1.5157,1.5195,1.5178
EURCHF,20090917,00:00:00,1.5177,1.5143,1.5223,1.5158
EURCHF,20090918,00:00:00,1.5159,1.5131,1.5167,1.5146
EURCHF,20090921,00:00:00,1.5143,1.5132,1.5185,1.5150
EURCHF,20090922,00:00:00,1.5149,1.5131,1.5155,1.5140
EURCHF,20090923,00:00:00,1.5140,1.5116,1.5144,1.5124
EURCHF,20090924,00:00:00,1.5122,1.5078,1.5131,1.5089
EURCHF,20090925,00:00:00,1.5090,1.5078,1.5122,1.5096
EURCHF,20090928,00:00:00,1.5096,1.5080,1.5119,1.5088
EURCHF,20090929,00:00:00,1.5089,1.5089,1.5125,1.5111
EURCHF,20090930,00:00:00,1.5110,1.5073,1.5236,1.5159
EURCHF,20091001,00:00:00,1.5159,1.5127,1.5190,1.5133
EURCHF,20091002,00:00:00,1.5134,1.5080,1.5141,1.5089
EURCHF,20091005,00:00:00,1.5089,1.5084,1.5125,1.5116
EURCHF,20091006,00:00:00,1.5116,1.5092,1.5125,1.5116
EURCHF,20091007,00:00:00,1.5115,1.5110,1.5175,1.5173
EURCHF,20091008,00:00:00,1.5172,1.5148,1.5181,1.5175
EURCHF,20091009,00:00:00,1.5176,1.5171,1.5194,1.5185
EURCHF,20091012,00:00:00,1.5184,1.5155,1.5201,1.5166
EURCHF,20091013,00:00:00,1.5167,1.5157,1.5186,1.5172
EURCHF,20091014,00:00:00,1.5171,1.5135,1.5179,1.5144
EURCHF,20091015,00:00:00,1.5143,1.5122,1.5169,1.5164
EURCHF,20091016,00:00:00,1.5165,1.5155,1.5190,1.5168
EURCHF,20091019,00:00:00,1.5174,1.5127,1.5178,1.5134
EURCHF,20091020,00:00:00,1.5135,1.5107,1.5137,1.5118
EURCHF,20091021,00:00:00,1.5118,1.5087,1.5120,1.5101
EURCHF,20091022,00:00:00,1.5102,1.5091,1.5137,1.5097
EURCHF,20091023,00:00:00,1.5098,1.5094,1.5136,1.5136
EURCHF,20091026,00:00:00,1.5122,1.5117,1.5146,1.5140
EURCHF,20091027,00:00:00,1.5141,1.5118,1.5160,1.5125
EURCHF,20091028,00:00:00,1.5124,1.5096,1.5126,1.5100
EURCHF,20091029,00:00:00,1.5101,1.5095,1.5110,1.5107
EURCHF,20091030,00:00:00,1.5107,1.5080,1.5166,1.5105
EURCHF,20091102,00:00:00,1.5095,1.5082,1.5105,1.5089
EURCHF,20091103,00:00:00,1.5089,1.5089,1.5125,1.5102
EURCHF,20091104,00:00:00,1.5103,1.5087,1.5117,1.5095
EURCHF,20091105,00:00:00,1.5096,1.5088,1.5121,1.5110
EURCHF,20091106,00:00:00,1.5111,1.5096,1.5125,1.5101
EURCHF,20091109,00:00:00,1.5099,1.5096,1.5120,1.5112
EURCHF,20091110,00:00:00,1.5113,1.5093,1.5116,1.5099
EURCHF,20091111,00:00:00,1.5098,1.5094,1.5107,1.5100
EURCHF,20091112,00:00:00,1.5099,1.5096,1.5110,1.5103
EURCHF,20091113,00:00:00,1.5102,1.5085,1.5112,1.5095
EURCHF,20091116,00:00:00,1.5094,1.5078,1.5102,1.5083
EURCHF,20091117,00:00:00,1.5082,1.5080,1.5116,1.5110
EURCHF,20091118,00:00:00,1.5109,1.5099,1.5116,1.5108
